name	sample1	sample2	sample3	sample4	sample5	sample6	avgCONTROL	avgTRT
ACSS2	23.894	24.1882	23.1659	34.8803	33.3213	32.5788	23.749366666666663	33.593466666666664
ACTB	1841.66	1987.59	2084.67	1753.78	1820.62	1807.28	1971.3066666666666	1793.8933333333332
ACTG1	785.496	903.366	955.167	704.417	728.66	720.848	881.343	717.975
ACTG1P20	1.41185	1.34762	1.47075	1.59053	1.3011	1.20434	1.4100733333333333	1.3653233333333334
ACTL6A	86.6613	78.8552	74.7998	74.8804	71.7497	70.6949	80.10543333333334	72.44166666666666
ACTL8	2.23701	2.63934	2.01847	1.3887	1.27349	1.2505	2.298273333333334	1.3042299999999998
ACTN1	29.789	32.8246	33.4613	39.9001	37.0054	35.9215	32.024966666666664	37.609
ACTN4	135.2	138.797	140.323	159.626	146.593	149.506	138.10666666666665	151.90833333333333
ACTR10	19.1261	18.1442	16.7114	14.1614	15.544	12.96	17.9939	14.221800000000002
ACTR1A	35.785	37.884	34.0593	42.3882	40.8676	41.8081	35.90943333333333	41.68796666666666
ACTR1B	21.315	23.5273	22.0452	21.3272	20.409	18.641	22.295833333333334	20.125733333333333
ACTR2	135.252	130.832	129.545	106.671	102.594	105.147	131.87633333333335	104.80399999999999
ACTR3	88.8956	87.7504	81.4344	70.1809	67.6201	68.2242	86.0268	68.67506666666667
ACTR3B	7.4544	7.60452	7.39531	9.38252	11.1487	11.2018	7.484743333333334	10.577673333333331
ACTR3C	2.94341	3.68704	3.16327	3.66685	3.51474	2.37029	3.2645733333333333	3.1839600000000003
ACTR5	5.81548	6.094	6.13741	6.71607	7.12923	6.49598	6.015630000000001	6.780426666666667
ACTR6	25.5986	22.0349	21.877	24.526	24.0061	24.7417	23.170166666666663	24.424599999999998
ACTR8	7.64787	7.65779	8.09357	9.29218	9.00004	8.23818	7.799743333333333	8.843466666666666
ACVR1	13.0788	12.8483	13.8169	13.3578	13.4516	12.1464	13.248	12.985266666666666
ACVR1B	6.95739	6.78171	6.00724	5.59319	5.94949	6.41144	6.582113333333333	5.984706666666667
ACVR2B	4.67527	4.35915	4.87193	2.67625	2.94529	3.34035	4.63545	2.987296666666667
ACY1	58.2814	60.9427	54.5507	41.8984	39.1067	38.4068	57.924933333333335	39.80396666666667
ACYP1	26.1428	24.8051	27.7658	27.0057	24.6647	24.6441	26.2379	25.43816666666667
ACYP2	1.83809	0.910433	1.23589	2.07323	2.47478	2.45476	1.3281376666666667	2.3342566666666666
ADA	5.67383	5.62077	5.75713	4.84007	4.94201	5.30442	5.68391	5.028833333333334
ADAL	13.71	13.6396	14.1797	13.3835	12.5529	13.0363	13.843100000000002	12.990900000000002
ADAM10	19.5816	18.5411	19.0016	18.634	19.4973	20.7516	19.041433333333334	19.627633333333332
ADAM15	19.0515	20.6757	20.2392	18.2397	19.7806	21.595	19.988799999999998	19.871766666666666
ADAM17	23.1388	21.7577	21.1301	16.0731	16.6628	16.0197	22.008866666666666	16.25186666666667
ADAM1A	3.3913	3.34023	4.02908	3.21367	3.35956	2.5669400000000002	3.58687	3.046723333333334
ADAM8	2.06163	2.27754	2.38913	1.85834	2.18535	2.00752	2.242766666666667	2.01707
ADAM9	29.1411	26.4696	25.5755	17.2881	16.3866	17.0122	27.062066666666666	16.895633333333333
ADAMTS14	5.97671	5.84525	6.15362	9.48196	9.41487	8.75854	5.99186	9.218456666666667
ADAMTS3	6.98757	6.25033	6.698	11.0899	10.5906	10.1399	6.6453	10.606800000000002
ADAMTSL4	56.749	60.792	56.5442	52.5384	59.4992	55.4781	58.0284	55.83856666666666
ADAMTSL5	2.49073	2.9832	2.82393	4.13	4.33978	3.7589	2.7659533333333335	4.076226666666667
ADAR	35.9269	33.3387	35.8942	33.8559	34.5431	32.8396	35.053266666666666	33.746199999999995
ADARB1	1.06958	1.37665	1.68407	6.39946	5.73544	4.96255	1.3767666666666667	5.69915
ADAT1	7.63577	6.90289	7.22205	6.5394	6.87127	6.77411	7.25357	6.72826
ADAT2	7.25153	6.65324	7.29328	6.72118	7.10039	6.69612	7.066016666666666	6.839230000000001
ADAT3	3.51961	4.12519	4.65755	9.24949	7.7352	7.72505	4.100783333333333	8.23658
ADCK1	3.7927399999999998	3.48621	3.23214	3.12922	3.52276	4.00697	3.5036966666666665	3.5529833333333336
ADCK2	11.3263	11.3032	11.3648	7.982	8.11649	8.59921	11.331433333333335	8.232566666666667
ADCK3	20.5124	22.1662	19.9484	14.5387	15.8943	15.7545	20.875666666666667	15.395833333333334
ADCK4	8.44319	9.52286	8.47931	8.1702	7.42164	9.27285	8.81512	8.28823
ADCK5	5.63437	6.86689	6.1865	5.32302	5.55216	5.27586	6.229253333333332	5.383680000000001
ADCY3	10.3626	12.0148	11.6863	15.4999	17.2107	16.9284	11.354566666666665	16.546333333333333
