name	logFC	Pval	logPval	FDR
ASNS	-2.22181908554219	3.7400497451884e-272	271.4271226213511	8.94245894074546e-269
GPT2	-2.15491589279672	4.64643826625752e-84	83.33287982862093	6.34836222549813e-82
MS4A3	-2.14428485491709	4.41058688764864e-100	99.35550361799048	8.60874550887175e-98
FKBP9P1	-2.09368352800423	3.04220327755875e-58	57.516811770107964	2.02053001017861e-56
CTH	-2.05672470640514	5.56522834064048e-41	40.25451701191405	2.21774349374523e-39
ALG1L13P	-1.99375310814163	4.68376909594115e-49	48.32940452325604	2.34531767715085e-47
INHBE	-1.98999775779126	1.01655836739941e-41	40.99286768056578	4.13717626630126e-40
CCPG1	-1.9899296578228	1.45307737246998e-113	112.83771126007078	3.30886475959592e-111
PSAT1	-1.9856619559038	8.75716669895478e-250	249.0576363831064	1.19647917584005e-246
NEBL	-1.96275324346084	1.61219041608126e-103	102.79258366490717	3.28063598710663e-101
TRIB3	-1.87979970050178	2.41221146146843e-225	224.61758462334637	1.92253253479034e-222
TCP11L2	-1.86892115938139	2.647498672653e-24	23.57716424895782	5.24237625367562e-23
MLXIPL	-1.84897738240864	3.12306774348184e-47	46.505418595244265	1.50095577380203e-45
BCAS3	-1.82102790805399	2.78095566439652e-28	27.55580593485444	6.7505228361138e-27
COLGALT2	-1.78839939668873	4.82259899150336e-235	234.31671884900862	4.61233367547381e-232
SH3BGR	-1.78722599718489	1.22433581468517e-92	91.91209944619224	2.12900867848163e-90
MILR1	-1.78717513402436	1.29372850345295e-42	41.888156853360805	5.52375866384999e-41
DNAJB9	-1.7855672146422	3.83988974071155e-67	66.41568124586372	3.30853202524011e-65
PCK2	-1.77257287116484	1.8746088697705e-121	120.72708933242697	4.98021089735695e-119
CT45A10	-1.76001210417459	1.93072322978564e-67	66.71427997810656	1.69407678620824e-65
ATP2A3	-1.75217220968062	1.00113718282903e-150	149.99950640837125	3.54625037650996e-148
GALM	-1.74521906560502	3.89233134533017e-113	112.40979019632678	8.6572690666832e-111
SERPINF1	-1.69048815201132	8.62412341355108e-118	117.06428503724074	2.11490041864622e-115
VSIR	-1.6889139941307	3.14125343679096e-37	36.50289702324504	1.09645795144047e-35
GAB2	-1.68650379077691	6.31474581430424e-179	178.19964412629105	3.35523494266699e-176
FICD	-1.68243783080032	7.6977302448331e-28	27.11363731215974	1.8268261057465e-26
COL6A3	-1.66722724448293	1.71972024710003e-9	8.76454219554724	1.00045039192608e-8
RWDD2A	-1.65467705028907	2.78521624513973e-30	29.555141080409438	7.4615709155508e-29
FAM129A	-1.65412775989438	3.37250688560853e-244	243.4720471549611	4.031831981745e-241
HSPA5	-1.64468613494458	1.31503353092119e-240	239.88106317332753	1.39744229885891e-237
TREML2	-1.64356681831447	3.55023319693614e-21	20.44974311939101	5.79427138148417e-20
WARS	-1.59101707868777	2.13613380973276e-295	294.6703715461152	1.02149918781421e-291
STC2	-1.58697686470795	3.48907177279602e-28	27.457290096700167	8.44797023671421e-27
SYTL1	-1.58519230997072	1.78308184197656e-25	24.748828722610913	3.73159622246473e-24
TES	-1.57743051679135	5.1162368655607e-170	169.2910493572691	2.22416769919193e-167
RAB27A	-1.55909522612946	6.2723505522933e-147	146.20256967757615	2.06857795455632e-144
CLGN	-1.55738265055756	1.3535498006721e-22	21.868525760758487	2.40173474835398e-21
SEL1L	-1.55550776713258	8.70281478308136e-149	148.06034025921485	2.97263287804965e-146
PABPC1L	-1.55207956986581	1.15429660372532e-118	117.9376825821594	2.90518229421816e-116
